,o_cz,o_cz_name,o_state_name
6131775,23900,Peoria,Illinois
6150300,24000,Kenosha,Wisconsin
6168825,24100,Milwaukee,Wisconsin
6187350,24200,Bourbonnais,Illinois
6205875,24300,Chicago,Illinois
6224400,24400,Rockford,Illinois
6242925,24500,Rolla,Missouri
6261450,24600,Farmington,Missouri
6279975,24701,St. Louis,Missouri
6298500,24702,Mexico,Missouri
6317025,24801,Jacksonville,Illinois
6335550,24802,Springfield,Illinois
6354075,24900,Edwardsville,Illinois
6372600,25000,Quincy,Illinois
6391125,25101,Mountain Home,Arkansas
6409650,25102,West Plains,Missouri
6428175,25103,Harrison,Arkansas
6446700,25104,Heber Springs,Arkansas
6465225,25105,Batesville,Arkansas
6483750,25200,Henderson,Kentucky
6502275,25300,Union City,Tennessee
6520800,25401,Paducah,Kentucky
6539325,25402,Murray,Kentucky
6557850,25500,Centralia,Illinois
6576375,25601,Carbondale,Illinois
6594900,25602,Harrisburg,Illinois
6613425,25701,Cape Girardeau,Missouri
6631950,25702,Poplar Bluff,Missouri
6650475,25800,Blytheville,Arkansas
6669000,25900,Jonesboro,Arkansas
6687525,26001,Roseau,Minnesota
6706050,26002,Duluth,Minnesota
6724575,26003,West Cook UT,Minnesota
6743100,26004,International Falls,Minnesota
6761625,26101,Moberly,Missouri
6780150,26102,Marshall,Missouri
6798675,26103,Brookfield,Missouri
6817200,26104,Trenton,Missouri
6835725,26105,Polk,Missouri
6854250,26106,Centerville,Iowa
6872775,26107,Kirksville,Missouri
6891300,26201,Bismarck,North Dakota
6909825,26202,East Grant UT,North Dakota
6928350,26203,Linton,North Dakota
6946875,26204,Steele,North Dakota
6965400,26301,Devils Lake,North Dakota
6983925,26302,Carrington,North Dakota
7002450,26303,Turtle Mountain UT,North Dakota
7020975,26304,Minot,North Dakota
7039500,26305,Rugby,North Dakota
7058025,26401,Ekalaka,South Dakota
7076550,26402,Baker,Montana
7095075,26403,Bowman,North Dakota
7113600,26404,Lemmon,North Dakota
7132125,26405,Scobey,Montana
7150650,26406,Wolf Point,Montana
7169175,26407,Plentywood,Montana
7187700,26408,Glasgow,Montana
7206225,26409,Glendive,Montana
7224750,26410,Dickinson,North Dakota
7243275,26411,Sidney,North Dakota
7261800,26412,Williston,North Dakota
7280325,26501,Brookings,South Dakota
7298850,26502,Madison,South Dakota
7317375,26503,Sioux Falls,South Dakota
7335900,26504,Watertown,South Dakota
7354425,26601,Milbank,Minnesota
7372950,26602,Sisseton,South Dakota
7391475,26603,East Corson UT,South Dakota
7410000,26604,Mobridge,South Dakota
7428525,26605,Aberdeen,South Dakota
7447050,26701,Bemidji,Minnesota
7465575,26702,Grafton,North Dakota
7484100,26703,Thief River Falls,Minnesota
7502625,26704,Grand Forks,North Dakota
7521150,26801,Fargo,North Dakota
7539675,26802,Lisbon,North Dakota
7558200,26803,Jamestown,North Dakota
7576725,26804,Cooperstown,North Dakota
7595250,26901,Fergus Falls,Minnesota
7613775,26902,Little Falls,Minnesota
7632300,27001,O'Neill,Nebraska
7650825,27002,Ord,Nebraska
7669350,27003,Ainsworth,Nebraska
7687875,27004,Winner,South Dakota
7706400,27005,Yankton,South Dakota
7724925,27006,Mitchell,South Dakota
7743450,27007,Huron,South Dakota
7761975,27008,Parkston,South Dakota
7780500,27009,Chamberlain,South Dakota
7799025,27010,Miller,South Dakota
7817550,27011,Pierre,South Dakota
7836075,27012,Gettysburg,South Dakota
7854600,27101,Willmar,Minnesota
7873125,27102,Marshall,Minnesota
7891650,27201,Sioux Center,Iowa
7910175,27202,Worthington,Minnesota
7928700,27301,Spencer,Iowa
7947225,27302,Fairmont,Minnesota
7965750,27401,Storm Lake,Iowa
7984275,27402,Fort Dodge,Iowa
8002800,27501,Des Moines,Iowa
8021325,27502,Creston,Iowa
8039850,27503,Atlantic,Iowa
8058375,27504,Carroll,Iowa
8076900,27601,Rapid City,South Dakota
8095425,27602,Eagle Butte,South Dakota
8113950,27603,Southwest Jackson UT,South Dakota
8132475,27604,Murdo,South Dakota
8151000,27605,Mission,South Dakota
