o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool
39203,Bend,Oregon,32201,Huntsville,Texas,0,87,67,Asian
39203,Bend,Oregon,35701,Twin Falls,Idaho,0,87,37,Asian
39203,Bend,Oregon,19800,Wilmington,Delaware,0,87,868,Asian
39203,Bend,Oregon,26702,Grafton,North Dakota,0,87,1,Asian
39203,Bend,Oregon,17000,Pikeville,Kentucky,0,87,20,Asian
39203,Bend,Oregon,13900,Center,Indiana,0,87,75,Asian
39203,Bend,Oregon,32403,Snyder,Texas,0,87,2,Asian
39203,Bend,Oregon,33801,Elk City,Oklahoma,0,87,16,Asian
39203,Bend,Oregon,21702,Austin,Minnesota,0,87,57,Asian
39203,Bend,Oregon,37603,Portola,California,0,87,10,Asian
39203,Bend,Oregon,37601,Elko,Nevada,0,87,39,Asian
39203,Bend,Oregon,12002,Ludington,Michigan,0,87,16,Asian
39203,Bend,Oregon,26802,Lisbon,North Dakota,0,87,3,Asian
39203,Bend,Oregon,31404,Alpine,Texas,0,87,8,Asian
39203,Bend,Oregon,8702,Statesboro,Georgia,0,87,42,Asian
39203,Bend,Oregon,1002,Morganton,North Carolina,0,67,648,Black
39203,Bend,Oregon,11201,Bluefield,Virginia,0,67,613,Black
39203,Bend,Oregon,4101,Crossett,Arkansas,0,67,465,Black
39203,Bend,Oregon,31003,Scott City,Kansas,0,67,2,Black
39203,Bend,Oregon,33603,Frederick,Oklahoma,0,67,43,Black
39203,Bend,Oregon,2500,Newport News,Virginia,0,67,24218,Black
39203,Bend,Oregon,28304,Valentine,Nebraska,0,67,2,Black
39203,Bend,Oregon,22900,La Crosse,Wisconsin,0,67,341,Black
39203,Bend,Oregon,2600,Roanoke Rapids,North Carolina,0,67,7242,Black
39203,Bend,Oregon,27901,Hastings,Nebraska,0,67,32,Black
39203,Bend,Oregon,4602,Somerset,Kentucky,0,67,124,Black
39203,Bend,Oregon,27502,Creston,Iowa,0,67,45,Black
39203,Bend,Oregon,3003,Jackson,Mississippi,0,67,35110,Black
39203,Bend,Oregon,31403,Fort Stockton,Texas,0,67,14,Black
39203,Bend,Oregon,23301,Charleston,Illinois,0,67,303,Black
39203,Bend,Oregon,12902,Mount Sterling,Kentucky,0,67,82,Black
39203,Bend,Oregon,25900,Jonesboro,Arkansas,0,67,2906,Black
39203,Bend,Oregon,10102,Thomasville,Georgia,0,67,2446,Black
39203,Bend,Oregon,25402,Murray,Kentucky,0,67,180,Black
39203,Bend,Oregon,36501,Klamath Falls,California,0,67,144,Black
39203,Bend,Oregon,35202,Gunnison,Colorado,0,67,23,Black
39203,Bend,Oregon,100,Johnson City,Tennessee,0,67,1498,Black
39203,Bend,Oregon,11700,Lansing,Michigan,0,67,4942,Black
39203,Bend,Oregon,4902,Dyersburg,Tennessee,0,67,2626,Black
39203,Bend,Oregon,6200,Florence,Alabama,0,67,2465,Black
