,o_state_name,d_state_name,n
416,Delaware,Delaware,86433
417,Delaware,Florida,2510
418,Delaware,Georgia,1183
419,Delaware,Hawaii,171
420,Delaware,Idaho,38
421,Delaware,Illinois,382
422,Delaware,Indiana,201
423,Delaware,Iowa,79
424,Delaware,Kansas,110
425,Delaware,Kentucky,174
426,Delaware,Louisiana,176
427,Delaware,Maine,78
428,Delaware,Maryland,4093
429,Delaware,Massachusetts,562
430,Delaware,Michigan,189
431,Delaware,Minnesota,113
432,Delaware,Mississippi,66
433,Delaware,Missouri,244
434,Delaware,Montana,49
435,Delaware,Nebraska,57
436,Delaware,Nevada,157
437,Delaware,New Hampshire,81
438,Delaware,New Jersey,655
439,Delaware,New Mexico,79
440,Delaware,New York,1952
441,Delaware,North Carolina,1818
442,Delaware,North Dakota,54
443,Delaware,Ohio,435
444,Delaware,Oklahoma,126
445,Delaware,Oregon,176
446,Delaware,Pennsylvania,6468
447,Delaware,Rhode Island,90
448,Delaware,South Carolina,596
449,Delaware,South Dakota,48
450,Delaware,Tennessee,507
451,Delaware,Texas,1247
452,Delaware,Utah,160
453,Delaware,Vermont,75
454,Delaware,Virginia,1704
455,Delaware,Washington,334
456,Delaware,West Virginia,167
457,Delaware,Wisconsin,107
458,Delaware,Wyoming,44
459,Florida,Alabama,10950
460,Florida,Alaska,1721
461,Florida,Arizona,4640
462,Florida,Arkansas,2301
463,Florida,California,25935
464,Florida,Colorado,11641
465,Florida,Connecticut,3633
466,Florida,DC,11860
467,Florida,Delaware,1035
468,Florida,Florida,1297203
469,Florida,Georgia,40860
470,Florida,Hawaii,2559
471,Florida,Idaho,728
472,Florida,Illinois,9636
473,Florida,Indiana,5453
474,Florida,Iowa,1411
475,Florida,Kansas,1795
476,Florida,Kentucky,4923
477,Florida,Louisiana,5332
478,Florida,Maine,1097
479,Florida,Maryland,3218
480,Florida,Massachusetts,8250
481,Florida,Michigan,5459
482,Florida,Minnesota,2304
483,Florida,Mississippi,3018
484,Florida,Missouri,5032
485,Florida,Montana,848
486,Florida,Nebraska,1187
487,Florida,Nevada,3280
488,Florida,New Hampshire,1436
489,Florida,New Jersey,5934
490,Florida,New Mexico,1469
491,Florida,New York,31959
492,Florida,North Carolina,23425
493,Florida,North Dakota,1024
494,Florida,Ohio,9776
495,Florida,Oklahoma,2932
496,Florida,Oregon,3158
497,Florida,Pennsylvania,11994
498,Florida,Rhode Island,1845
499,Florida,South Carolina,8614
500,Florida,South Dakota,602
501,Florida,Tennessee,15739
502,Florida,Texas,27141
503,Florida,Utah,2122
504,Florida,Vermont,714
505,Florida,Virginia,10341
506,Florida,Washington,7556
507,Florida,West Virginia,1259
508,Florida,Wisconsin,2735
509,Florida,Wyoming,747
510,Georgia,Alabama,17196
511,Georgia,Alaska,966
512,Georgia,Arizona,2509
513,Georgia,Arkansas,1397
514,Georgia,California,13233
515,Georgia,Colorado,5508
516,Georgia,Connecticut,1055
517,Georgia,DC,6627
518,Georgia,Delaware,538
519,Georgia,Florida,30687
520,Georgia,Georgia,809402
521,Georgia,Hawaii,1398
522,Georgia,Idaho,406
523,Georgia,Illinois,4393
524,Georgia,Indiana,2429
525,Georgia,Iowa,667
526,Georgia,Kansas,1156
527,Georgia,Kentucky,2898
528,Georgia,Louisiana,4593
529,Georgia,Maine,289
530,Georgia,Maryland,1760
531,Georgia,Massachusetts,2353
532,Georgia,Michigan,2509
533,Georgia,Minnesota,1161
534,Georgia,Mississippi,2593
535,Georgia,Missouri,2747
536,Georgia,Montana,476
537,Georgia,Nebraska,630
538,Georgia,Nevada,1434
539,Georgia,New Hampshire,324
540,Georgia,New Jersey,1834
541,Georgia,New Mexico,800
542,Georgia,New York,10491
543,Georgia,North Carolina,16181
544,Georgia,North Dakota,575
545,Georgia,Ohio,4618
546,Georgia,Oklahoma,1764
547,Georgia,Oregon,1389
548,Georgia,Pennsylvania,4226
549,Georgia,Rhode Island,388
550,Georgia,South Carolina,14393
551,Georgia,South Dakota,286
552,Georgia,Tennessee,13974
553,Georgia,Texas,15543
554,Georgia,Utah,1470
555,Georgia,Vermont,203
556,Georgia,Virginia,6464
557,Georgia,Washington,3827
558,Georgia,West Virginia,453
559,Georgia,Wisconsin,1208
560,Georgia,Wyoming,393
561,Hawaii,Alabama,209
562,Hawaii,Alaska,690
563,Hawaii,Arizona,1133
564,Hawaii,Arkansas,110
565,Hawaii,California,8530
566,Hawaii,Colorado,1250
567,Hawaii,Connecticut,94
