o_state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
New York,1776,1029,5763,742,27652,8887,14098,17987,2496,48874,15698,1670,442,6182,2290,656,915,1551,2220,1498,6872,21158,3087,1584,708,2323,649,526,3015,2339,31764,912,1435174,27384,397,6922,1351,2563,35857,2902,8211,282,5304,15087,1696,3272,12725,5287,677,1766,458
North Carolina,2236,836,2132,859,11020,4583,1214,9603,639,15631,16169,1220,356,3007,1764,554,838,2116,1916,342,2556,2650,1773,974,999,1919,395,432,1104,400,1957,614,11626,748432,404,3832,1324,1417,5520,441,18997,222,8612,10801,1069,255,16434,3317,1293,1054,342
North Dakota,74,169,710,73,953,1436,40,239,17,438,199,83,196,411,144,398,165,84,68,26,57,124,203,7023,45,328,1122,427,248,18,33,111,284,241,66355,200,192,425,173,19,72,1348,196,890,226,20,165,689,22,431,307
Ohio,2588,1017,6227,1084,18696,8590,1217,8644,565,23447,11102,1413,530,14524,13610,1060,1172,13002,2108,379,2428,3587,12127,1819,1030,3879,794,833,2716,482,1833,1076,12754,15117,579,1135013,1762,2431,15741,463,5902,368,10002,15417,1780,343,6633,4898,5078,2646,569
Oklahoma,582,447,1351,6502,4678,3675,158,905,82,2726,1536,450,197,1258,641,393,4337,456,1115,69,270,405,521,483,402,3939,246,488,608,69,152,884,1417,1504,245,830,288811,839,696,65,447,213,1394,20017,587,38,875,1655,111,416,290
Oregon,292,1669,4146,449,18822,3280,265,1345,85,2079,1113,1399,5094,1233,570,367,485,343,558,120,333,902,610,796,175,1011,1640,397,2460,143,222,630,2882,1410,727,756,790,301129,802,103,417,263,981,4838,3352,93,980,21570,57,574,666
Pennsylvania,1682,1103,5217,837,22667,8278,3323,25294,10452,30236,10044,1733,517,6186,2790,745,979,2050,1939,948,13863,8317,2953,1421,767,2497,841,599,2398,1097,17430,946,38776,19199,533,15067,1447,2428,1273456,1245,6961,313,5778,13085,1694,1071,14126,5019,3519,1850,575
Rhode Island,130,90,427,93,2958,675,2514,1306,79,4214,879,201,38,501,184,57,87,115,198,646,347,13667,184,144,71,193,55,60,239,1115,639,72,3912,1357,48,377,95,262,1041,122387,509,34,409,1283,141,509,743,500,52,124,53
South Carolina,1213,312,746,391,3453,1621,525,2701,237,6893,13757,541,109,1100,726,223,397,893,904,137,876,863,738,310,461,820,136,179,435,140,707,247,4030,19962,166,1606,590,456,2098,179,320558,79,3163,4212,451,105,3355,1356,337,356,135
South Dakota,76,191,883,103,1197,2254,38,280,18,588,246,117,173,476,214,1626,385,101,88,23,85,120,226,4172,56,645,578,3128,294,25,41,175,283,331,2411,219,295,450,198,17,124,65744,246,1078,291,21,175,721,17,438,1021
Tennessee,7269,576,1669,3758,7148,3567,432,2893,213,10312,12482,730,290,3990,2958,553,728,9365,2550,176,811,992,2359,810,5937,3187,363,473,933,200,444,589,3706,7281,334,3655,1456,1058,1997,166,3142,201,565380,10349,848,104,4884,2416,397,1140,262
Texas,4323,2163,10036,9534,38653,19731,1387,7968,687,17299,11340,3278,1481,8654,4199,2237,4973,2574,17645,425,2114,3629,3762,3340,3436,8544,1149,2569,4197,508,1657,10141,14659,10031,1436,5448,20012,4305,5078,495,3065,783,8925,2234993,4548,276,7230,10881,537,2759,1183
Utah,316,573,4434,308,7909,3664,187,1056,67,1390,774,579,3737,795,506,395,360,326,261,82,253,508,499,509,140,890,743,462,3485,89,172,680,1356,986,451,736,555,2305,703,68,325,158,599,4240,252234,91,650,3480,104,408,1694
Vermont,95,121,358,41,1874,1160,730,838,61,1473,386,129,82,368,115,43,76,114,115,900,202,4128,189,137,38,153,305,48,132,3684,250,107,3044,1216,32,263,80,463,737,428,409,30,356,751,332,51339,562,553,29,156,117
Virginia,1501,607,1635,609,8149,3451,869,22683,1128,10978,7604,1108,288,1953,1252,380,645,1787,1362,317,4034,1756,1224,551,736,1402,303,379,885,315,1353,489,7688,22917,252,2962,960,955,6639,335,4414,171,6898,7778,932,216,436953,2605,2268,640,246
Washington,725,2715,6753,601,26232,5060,477,2518,154,3975,2293,2398,6394,2198,954,700,780,541,1054,177,644,1605,1100,1278,398,1703,4063,698,3307,242,456,929,4701,2661,1398,1390,1341,21078,1556,196,859,420,1754,8781,5024,162,1898,502860,92,1015,890
West Virginia,233,109,281,103,964,520,109,1206,128,1999,901,100,50,399,410,59,114,3318,212,36,677,166,292,111,101,251,80,68,155,42,129,67,712,2716,54,6002,204,145,3220,32,1025,36,1031,1190,136,42,3269,354,107511,129,70
Wisconsin,603,714,4251,765,9510,6784,428,2248,126,6136,2766,665,395,15791,2387,3680,689,857,801,170,574,1401,3797,25931,585,2762,802,847,1282,182,408,544,3733,3192,1101,2199,936,2016,1542,187,971,691,2838,7412,1037,156,1499,3414,114,493760,488
Wyoming,91,238,889,139,1309,4631,44,188,17,475,244,141,1103,246,175,200,314,82,139,35,57,87,192,316,62,353,2284,1179,463,29,32,302,285,258,626,198,345,741,188,20,97,875,246,1427,2631,24,189,1138,33,186,41806
